,content,uuid
252,F2S - Avoid Getting Emotional Knowledge Check,47fd2766d2e64c8382f3ffbd26c82d4e
253,F2S - Listen In Emotional Situations,ca6cda2ceece45d0b726244aa172108e
255,Using Smartsheets For Managing Projects,d63f0b50dbc641f29389402de8e9b773
268,ROUTE - Implementing Cisco IP Routing v2.0,2ed71a313aca4bc39045464833f19f42
275,ENG: Open Source Software Training (COSI),8b8405236e074b8aa1537761acd48ad9
282,Continuous Delivery: Introduction to Agile,1a52091784fd4dfa9238f9a14c487bf8
284,ENG: Machine Learning and Deep Learning Fundamentals in Python - Introductory Course,a9da4ccd5a414f00b0c86df7b9317e57
285,Cisco Agile Product Data Management (PDM) Sourcing Owner Training,148ec83e17604677957aa38b56a7eacb
286,PPM Dashboard Configuration,dfbae6f98edf48c089fe46289218fe42
293,NPI: 1.2 GHz GS7000 Intelligent Super High Output (SHO) node,82cb07104e2d407e8c446735e4880e75
295,NPI: Network Convergence System 2000 v10.9 - 10.9 - Stark Wolf,c10f8e61f6654416b9df432ad18019ca
297,ENG: Docker Fundamentals,d2fd744de2824746a45e63db3eb08530
298,NPI: IOS-XR 6.2.1 IOS-XR 6.2.1 SP Networking,216ca99a5d69472e9179ef6b1ecc9ac0
299,NPI: IOS-XR 6.3.3 - 6.3.3,9b2c8ebfd37f451fbdc6c16538840e64
300,NPI: IOS-XR 6.4.1 - IOS-XR 6.4.1,d5696bda8c804ec6b700cd0c4d934779
301,NPI: IOS-XR 6.4.2 - IOS-XR 6.4.2,5a55e0002fd2432bae43a07c18e35d99
319,ENG: GIT Introduction,3546b5e640bf46d1a2393a25ec254640
329,Introduction to Project Delivery - OnRamp Access and COLT Test,d8bbad8c9d3344efb1c10c32eb49da24
330,Introduction to Project Delivery - Project Financials,2fdc15ef43134a0c856babe7f3dc9504
339,Business Critical Services: CloudRay - Automated Fault Detection,913c9a9069574a04b8bbc935a6ac9638
344,ENG: Why NETCONF & YANG,18f8b1b30c2d4ddca9ee01ffbb58869e
357,ENG: AWS Technical Essentials,8f553cd73cf346f3892cfcfb74ba38f1
366,NPI: Cisco Enterprise Network Compute System (ENCS) 5400 and Network Functions Virtualization Infrastructure Software (NFVIS) - Tachi Access Group (AGBU),a2c780cf34cd49738229818e99511d5e
367,NPI: Enterprise Network Function Virtualization Infrastructure Software - NFVIS - 3.7.1,871de649c60d47d7ac89945a44441db4
369,ENG: Patents@Cisco,a1a23fa31c7e4518bd32225b18798ba4
371,JUMP Women's Development Program: Module 3 - Optimising Impact,2bf5d9313f0f4494bbc7d183d9250483
373,SLM Workflow Overview,6c356ce5ab2d49899d37f6995e1da08f
380,ENG: API Design Essentials,bc32d04a9ac4475183d43773da56fdf6
382,Services Time Entry,b7196d51c2234af89aaa38ea4eedc076
383,NPI: Deploying Transit Virtual Private Clouds - VPC - with Autoscaler on Amazon Web Services - AWS - CSG,b180faa5b278487ead1bb78018680e53
389,Compliance: Business Management Systems (BMS) General Awareness v.1,109360822b6441bf959761f97f280e8b
392,Cisco UCS Management and Maintenance,7613148c7cec4be4ad065332dbc162fd
393,NPI: Cisco Policy Suite - Refresher for ANDSF - CPS - ANDSF - MIBU,eeafe95dfdfa453d9bdaf119f9847b24
398,ENG: Introduction to Spark,134239be595d45ebb7855fb9f1483341
401,Linux,542bbb7ebda6474096ad3b80d7b3a0da
422,ENG: High-Speed Digital Design Seminar Series by Howard Johnson,7d43b79b994e443b87f2c7f610115ea6
423,Requesting Library Symbol,117171c76bf4405fb22641d351b794cc
425,ENG: JavaScript Fundamentals,45c3dd99e2334229ac94230f1a7ab35e
427,NPDEV - Developing with Cisco Network v4.0,fe8a49fa9b7b4a22a787d2e74206436b
428,CPLL ($600),7f9caabd010847ae8fb8ef5bdaa4707d
430,Continuous Delivery: SAFe Scrum Master (SSM) with Certification,b862563814284c6e8e7dfe82489b068c
436,EngLI: NerdLunch on Why We Need to Care About 5G?,91709c868a5f42009cb4bf2af420d0f8
442,WIFUND - Implementing Cisco Wireless Network Fundamentals v1.0,26346ddb60754484b3c9e21f90ef1b4c
444,Adopting the Cisco Business Architecture Approach,08a2c82e55654b83b3253bac289de784
455,FY18 GC Ethics and Compliance Training,eeff7f571847436c8b19f596d71faee1
457,NPI: Cisco Edge & Fog Fabric 1.0 -Cisco Edge & Fog Fabric 1.0,f9c304bfe18e49eb960a7e9ebcefeb53
458,NPI: Cisco Edge & Fog Fabric 1.1 - Cisco Edge & Fog Fabric 1.1,be0a8fc9f33b4b179af554f395c54316
459,NPI: Crosswork Situation Manager 6.5 - Crosswork Situation Manager 6.5,a5c64d781f224ae4a5a71fc216152098
469,NPI: Cisco Docker Solution,26ac892776fb44548c79039c1543722b
480,NPI: Cisco Intersight - Feature Collection - CSPG,e0e622b99d4941e6abadfbace3dc4cb7
495,Introduction to Data Science: Machine Intelligence,5e16e6fa4c97407fb04af69104ae2f0f
496,Introduction to Python,a247899589284601a38e3f532be15984
506,NPI: Nexus 9000 Standalone SW Release 7.0(3)I7(5) - Greensboro MR4 - DCBG,390c782311ba438ab300041cb550ba37
516,ENG: Elasticsearch,f4eb8b5fa1564999a83ea37439983a61
518,Cisco Capital Accounting Overview,8b05180b622e447a9943a6f28a752e0c
530,ISE L2,42027532e1b3415db4bfea677b744697
534,Business Critical Services: Customer Priorities Discovery,e805a6f710334957ace418b4e0e42ed9
538,EngLI - Linux Fundamentals,c99486677bc240b2b9b0cbe0a4971b18
541,Inventory Accounting Overview,b021e9000b294ae6a594fede46e77417
542,Mergers & Acquisitions Accounting,36b712989efa4df6a1ea480deb18fcae
548,IP Multicast Online Bootcamp I,43903bc9e84e401abbd24a48cf4c3fe1
550,Virtualization 101,f04ba7355c88408e91b947843970b595
551,ENG: Cisco Presents - DockerCamp (Beginner/Intermediate/Advanced),f3be0a0cac7b439c9aa8fe694956041b
571,Introduction to Project Delivery - Project Activation,0170deb8a7f44ca989b5c3f29ba3176c
577,Associate of Data Science: Algorithms and Modeling Methods,5bbb5ff5b3064bf89d138660925ab641
581,Cisco ACI for Network Engineers,ecc53325cb6d479bb3fc2a20bd933a4d
582,Introduction to Application Centric Infrastructure (ACI),ecfabaf92977494b9e0d404e899c4fae
597,Compliance: Ethics in Action,84a66ec662424842ac4a93b2e958a552
603,EngLI: EICT-Datascience-Project Consulting Workshop,793e81310f604533bcadd426998d9ea4
604,EngLI-EICT-Datascience Part - 6,9f2325daf0774ea2808514df5aa3bee8
606,Global Service Logistics & Operations Overview,7fa360b43c644537851e2bfcf322d8a0
607,Logistics RMA Creation & Status Training,ec207778c2e5425e8b15257eab5ec4d6
608,Service Order RMA Tool (SORT),b20beb9514524fae863ece37e815488f
609,TAC RMA Creation & Status Training,1ea99db4381d4e19b2865aeae06f0218
610,Buying Programs,a4d81861d535458a9a91ba00f6a4cdec
611,CPS Learning Forum: XaaS Ops Support-Session 3,5d73f6a1fd4b44148c5ab7da3c1f5265
613,Cisco ONE ELA 2.0,c39130d44b144df7a763b23b4c3c9cb8
614,Cisco ONE Overview,24034803cf734531ad6ccc0d123014f6
615,Cisco ONE Perpetual and Subscription,ca4aed076c434bd0b19bc4db17da8d3f
628,WIDESGN - Designing Cisco Wireless Enterprise Networks v1.0,a6096e1b5a494a2f8fe03dc0cb081f36
632,NPI: Cisco Container Platform (CCP) - 1.0,0af25187df5146dbbf69ed741d335067
633,NPI: Kinetic EFM 1.5 - Kinetic EFM 1.5,6bf11fff96674a4cb2f95599c28ee5ea
634,NPI: Kinetic EFM DSLink Program - IOTBU,e63c026e8f234ae4ad6c916f63ba2583
643,NPI: Cloud Object Storage - COS - 3.22.1 - SPVSS,9694bbbe778d448091ae971088a458f0
680,Understanding Unconscious Bias,3be52396bb6843c38a0e33cd25506713
684,EngLI: Advanced  Communication Skills Coaching for Success,68c6bfdae93a4b1eaf8d7370afcd9da3
693,Corporate Planning & Financial Forecasting,e81b562000b6467b80a1daae599dbb74
694,Financial Analyst Conference - Chuck Robbins,f6ca27dd23614913ac7a852a8e40881d
695,Financial Analyst Conference - Kelly Kramer,11d15d7065e24588a3f3608590fbd706
696,Fixed Asset Operations & Compliance,bdf74b7ab0454dee95c2124ec326a6e0
698,Management Reporting Overview,4150e8610e0d4776977dd245e0332698
700,Module 3: Global Chart of Account Policies,3bcbbbd434a149d690e34d06fea197b3
701,NRS Overview,e0b831db6e1c42c58ed56d39af4ad892
702,Statement of Cash Flows,a774bd87bedc42e6875bfa1c01c07234
703,Statutory Reporting,ce7639d7437d4993b67ed31b48f84f2e
704,Using Smart View for Financial Reporting,b8c157e9e46b4aca8ad00c23c483a490
705,Warranty and Royalty Overview,33a1b36b152943c3939872e6d5091fd2
712,Building Diversity and Inclusion Starts with Understanding Unconscious Bias,bc1eccaa34dc47e683007a17b3308594
713,Cisco SmartInsights,1d0bacbf7d464590a025688d0aaf0ef9
714,Develop: Interrupting Unconscious Bias and Building Inclusion,a280429a50d4440195ff8929d6f2ecac
715,Recruit: Interrupting Unconscious Bias and Building Inclusion,6598777502be4b65b72eceecf78a2fba
716,Test course 1,0aecc843c1ef4e9287ac2ef5ec26696c
725,NPI: Managed Services Accelerator (earlier VMS) - MSX - 3.4,1e8e64b9ddfe4df2870992dc1b5673ce
737,ENG: Polaris Bootcamp (Web-Based Training),7e3d2ce0d6c44e3c87d9e7f91ccc9353
745,SP Video TAC College of Technology,89ee75f477044d9f861f3d02f2bbf7dd
748,"Compliance: Gifts, Travel & Entertainment Policy Training",0509d9dd266840369a387250a5499a3c
760,Continuous Improvement Stories,6b4d80b4b019487da78dd1cc1c680116
