,content,uuid
400,Ansible for the Absolute Beginner - Hands-On - DevOps,dde01313464b4f368b1e715aa46cd661
401,Ansible Advanced - Hands-On - DevOps,7ecacf49f2d148b694c195aeb81e37e2
403,Accounting in 60 Minutes - A Brief Introduction,8378db5f84dd4ca3a08d602e7766bbd0
417,CFA® Level 1 (2020/21) - Complete Economics,49733212c2e847cc99620157154f1e64
452,A Beginner's Guide to Augmented Reality with Unity,452aeeefb292498e87a4e3f2e1c40cf5
453,GitHub Ultimate: Master Git and GitHub - Beginner to Expert,02b999594a634b02a6e4f15fdd82ac8e
454,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,77630401cfb94c6c9f5eea5dc41465c5
461,Java Multithreading,369f6667235845d4911e5c23ce5807d8
471,Git Going Fast: One Hour Git Crash Course,d2715193db9042b1a981054e2fd4b929
475,Python for Data Science and Machine Learning Bootcamp,665dff89feeb458f8350e89bb50e5e49
486,Complete Linux Troubleshooting Course (Practical Examples),a6a73994429d404fbc8b3060672ca0d0
498,JavaScript: Understanding the Weird Parts,6c328652068541818d567efcd49a5e63
519,The Complete Cyber Security Course : Hackers Exposed!,45edd572418b466c911aad8863214ad7
520,Learn Python Programming Masterclass,abef2f1f9e3449b28a9cbfda7b730cb5
525,Spring Framework Master Class - Java Spring the Modern Way,d0887434ee994d339ceaaaf9ff7754e9
533,Advanced C Programming: Pointers,c874bd9eab2b46dab44d591c17e8ccb6
534,Technical Analysis MasterClass:Trading By Technical Analysis,510b63cb46bc43c0acbc11916da2a1ec
546,Webpack 4: Beyond the Basics,e341cf316daf4dfcbe13f6486ef77c02
550,JavaScript: The Advanced Concepts,984c7b636dbe4cd2a2716701d8f51e78
564,Java Design Patterns & SOLID Design Principles,19e72ad16f1546ee9e3658620fa8c224
570,"Java Multithreading, Concurrency & Performance Optimization",76e61f40a21749a483e8828a5a9f9703
573,Asynchronous JavaScript,47caf7e2276e4daab3b94a00e308fb11
574,The Web Developer Bootcamp,bf4a987ba79a4c8c951c188ecb8c3962
575,Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,8827770458ec450b93761db55655e4d3
578,"Asynchronous JavaScript: Promises, Callbacks, Async Await",ded0760448ef4d2ab8945917d63f7db6
581,Mastering Data Structures & Algorithms using C and C++,6faf21f75def44d9928aef155d093549
589,Mastering Java SE programming. From Beginner to Master,7ed771b4e4f142bc9c4212e9b8aaf104
592,JavaScript - The Complete Guide 2020 (Beginner + Advanced),d6b2223c4e684c0aa8ea4021880e2a3e
613,MPLS Layer 3 VPN,07c028de1f304f0b97c6907ff981209f
628,PRINCE2 Foundation Complete Course & 2 Practice Exams,edbb0a7887c34a03a5a9cf5ab610a258
632,Python OOP : Four Pillars of OOP in Python 3 for Beginners,07b513623a1043f8a60cb404e23a6f85
634,Editing Mastery: How To Edit Writing To Perfection,b17897b42307450d8ce2221d37300c78
637,The Complete Video Production Bootcamp,8798cb8e0a37455f95ef7e454e16c435
638,iMovie - from beginner to advanced,dc6536428bf042db83dacf416a23f75a
639,The Podcast Masterclass: The Complete Guide to Podcasting,a6edc760bd3048b6b8c426859673b416
641,Python and Flask Bootcamp: Create Websites using Flask!,10696be403f341478904ef0074d3a82c
650,Django 3 - Full Stack Websites with Python Web Development,003431bab27c4e98a4c42e05a486a396
658,The Most Comprehensive Dropshipping Guide Ever Created,076a8101f8ca48fdb63bedd2d5297a4c
659,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,418fa7aa0bed4870a3ccc77dd50a4e62
663,Angular & NodeJS - The MEAN Stack Guide [2020 Edition],c851d7fd902b4d3897b629b2f3f8c27c
669,Tableau 20 Advanced Training: Master Tableau in Data Science,c06ddd2379ef4f988f4648f714b67b58
679,IELTS Preparation Masterclass: A Complete Guide to the IELTS,4ce46f47808e4d45bac8fc8513564824
680,Manager's Guide to Difficult Conversations,2124d17384cd46058a686ae86ed949f8
682,Elegant Automation Frameworks with Python and Pytest,22528b7f1d83417ca742fe13c5729bd8
683,BEGINNERS Watercolor. Get clear on the basics and just paint,d997ef83b63e47aa8de613723d8be43d
684,The Colored Pencil Drawing Course,d8a3c0fd999a429093c3d397364bd853
705,The Ultimate Drawing Course - Beginner to Advanced,00901008cd6b421d8ffc15c7bee05dc1
709,Difficult Conversations: Master Difficult Conversations,a9c82b8fc81343c9b86a7a26469e0a21
712,Machine Learning 101 with Scikit-learn and StatsModels,cbe0c6cfb6394733914fa33d9a251820
717,Ultimate AWS Certified Solutions Architect Associate 2021,1eed9edae6354900ab4d5ff3e1489ee7
722,The Complete front end web developer Bootcamp - 14 projects,f84faadaf6174c20bc4ec2326ee3f4fb
727,Ultimate Photoshop Training: From Beginner to Pro,6278f06bbdb14e08a636b15ab79b2dc0
728,Beginner Spanish: Practical Tools for Everyday Interactions,7b09d7fb99c74b77a20b5fb8b7daa8e3
729,Data Manipulation in Python: A Pandas Crash Course,04c58734ec114504829b0288ebb1bb1c
736,Linux Mastery: Master the Linux Command Line in 11.5 Hours,74056a7675d9436b813310727b90ea9a
737,Executive Briefing: Big Data and the Hadoop Ecosystem,ae4e8584e582456fa12504df45840475
740,Learn German Language: Complete German Course - Intermediate,96433a3b8b6c4f6a96cf7fd3431464af
741,4G LTE Evolved Packet Core (EPC) - Concepts and call flows,c4d7268246874e599a88a9db296d2583
744,Appium -Mobile Automation Testing from Scratch + Frameworks,db8a82f9bebb468881baa9ae2dea8cb5
746,The Pen and Ink Experience,761420dfb8584f1ebc2f01eed06cbc77
750,Scala & Functional Programming for Beginners | Rock the JVM,c38136fa48df4d4a95e9eeaf76179d2a
754,Advanced Scala and Functional Programming | Rock the JVM,abbd33b9b1dc47c7bf5003148bcfc534
756,OpenStack Essentials,962c216e56d14a83b7132cb8e6cab886
759,Kubernetes Mastery: Hands-On Lessons From A Docker Captain,47d326ca243e4ea3ae55ee30faee7e9e
760,Learn Redis And Utilize Jedis With Spring Data Redis,88294b1911444876b9dd437b215cc20a
761,Linux Command Line Basics,54db652a6c454b4bbaefd7c0bda69e7c
763,Akka Essentials with Scala | Rock the JVM,f8d20917db9842219f18774759b7f086
765,Mastering RxSwift in iOS,3f751717fcaa4171af7ea330703974a8
766,Apache Kafka - Real-time Stream Processing (Master Class),83511a1bae834f749f54599733e96bfa
773,Unit Testing Swift Mobile App,968e20d142044cadbb7e031aa6b91405
800,Learn 500 Arabic Words with Flashcards + Grammar Essentials,7bdc49b6c8f54fe8a95d57415ac4dd31
801,Train Your Brain: Practical Guide To Stimulate Your Neurons,72036d5c611f4fdeb24641bc72194cd0
802,Never be Lied to Again: Advanced Lie Detection Course,cb1443436b59417fbc890ae4cb2c545f
803,Python A-Z™: Python For Data Science With Real Exercises!,c4967c88e29e49e1a1a0ba93c0b3de5b
806,Akka HTTP with Scala | Rock the JVM,a371ab25005e4842b38700b0da7690fd
814,CFA® Level 1 (2020/21) - Complete Derivatives,bc44e15623554c59a88dcc8f08b6fa42
816,The Project Management Course: Beginner to PROject Manager,871f87f6910b468eb3eacbd1e7fed318
825,Mastering BGP in Depth on Cisco Routers,d0a5673f1e5e415496718ac6e4962066
826,CCIE Routing & Switching Version 5.0 - IGP,e68eb4aa66524596ab1880f7986fb3d1
829,CCIE Routing & Switching Version 5.0 -IP Services - QoS,3f72d625cd0d43e7b89aaa3be5444f4f
831,Master Network Automation with Python for Network Engineers,986c6aad805d40aaadedfc8694bf0f7f
832,Python for Beginners: Learn Python Programming (Python 3),a7a228f22ee04215bcfe86b39f4ae531
836,Learn DevOps: Infrastructure Automation With Terraform,d88a7a955588407093fae07ff6abda6d
841,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,b53fe9907c4e4dc79b57876e5124342e
844,REST API Automation With REST Assured - A Complete Guide,66e1cf73950e48e4922138d24e3d1d37
848,Fundamentals of the OpenStack Cloud with Hands-on Labs,603313d177304337a502a4e47fcc4eff
856,Android Studio Masterclass: Conquer the Android IDE,02566d61bd1147fdb9b44e61e0ad833d
865,Complete Guitar System - Beginner to Advanced,97fe52c3568044e0a264639fbc267a16
866,Tai Chi Made Fun and Easy,f59f3393835742f3b0f30066627411a8
867,C# Advanced Topics: Prepare for Technical Interviews,4bf98448165a46e5b3b5027833536a8f
871,C# Basics for Beginners: Learn C# Fundamentals by Coding,388ae1ddaa8f4a02a6c12928561184b8
878,"C# Intermediate: Classes, Interfaces and OOP",c47ee855b9e24a63a3ac4c219f57321d
883,The Complete ASP.NET MVC 5 Course,2992f24c26c144b7aec4e05573fbae9c
898,Learn C# With Windows Forms and SQL Server,8b5ff66f9c904da7a18a6655e9407f4b
899,Become a Probability & Statistics Master,cd2909036c63445faee706039af706cb
902,Asp.Net MVC 5 - Ultimate Guide - Indepth & Sample Project,b8e2fe7dbc0b443ab7ef62c90f406dca
903,Taoist Meditation Course & Guided Meditation,914db5336fb64ff691e1ab467904a25b
904,The Complete Communication Skills Master Class for Life,c1d24b00263b4434bc99aa5fa635f08a
925,Investing In Stocks The Complete Course! (11 Hour),66ba18b44ca84a0b90684916cb9ad135
926,Advanced Stock Trading Course + Strategies,7618d9b915154a12be2870aaece5f5f7
927,An Entire MBA in 1 Course:Award Winning Business School Prof,d68265b0b4d649b99d12b618b5a285da
935,The Complete 2020 Software Testing Bootcamp,fef2663629254d9bb0eba1ec281394ed
949,Create a web application with python + Django + PostgreSQL,bc4912cd27fa49ae950f41011e17456c
950,CFA® Level 1 (20/21) - Complete Financial Reporting Analysis,e1f04930301c4c72a346ef704b3f0112
953,Python Django Dev To Deployment,4212fa3526874a3d88ef142378dfea21
963,Moodle 3.0x Masterclass: Complete Educator's Guide to Moodle,5313fbeed69c41098484475e95add975
965,Intro to Entrepreneurship: Get started as an Entrepreneur,9c3038f0512543f6b594d9733d7dbc2c
966,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,c06bb994038c408cac143b07a09a6746
967,User Experience Design Essentials - Adobe XD UI UX Design,562008951e7d47aa87505e2589e2a427
973,"QuickBooks Online 2020, 2019 & 2018 Start to Finish",3079480f28514364b06d8deced33d5e5
